"","date","holiday"
"484","2021-02-18","False"
"485","2021-02-19","False"
"486","2021-02-20","False"
"487","2021-02-21","False"
"488","2021-02-22","False"
"489","2021-02-23","False"
"490","2021-02-24","False"
"491","2021-02-25","False"
"492","2021-02-26","False"
"493","2021-02-27","False"
"494","2021-02-28","False"
"495","2021-03-01","False"
"496","2021-03-02","False"
"497","2021-03-03","False"
"498","2021-03-04","False"
"499","2021-03-05","False"
"500","2021-03-06","False"
"501","2021-03-07","False"
"502","2021-03-08","False"
"503","2021-03-09","False"
"504","2021-03-10","False"
"505","2021-03-11","False"
"506","2021-03-12","False"
"507","2021-03-13","False"
"508","2021-03-14","False"
"509","2021-03-15","False"
"510","2021-03-16","False"
"511","2021-03-17","False"
"512","2021-03-18","False"
"513","2021-03-19","False"
"514","2021-03-20","False"
"515","2021-03-21","False"
"516","2021-03-22","False"
"517","2021-03-23","False"
"518","2021-03-24","False"
"519","2021-03-25","False"
"520","2021-03-26","False"
"521","2021-03-27","False"
"522","2021-03-28","False"
"523","2021-03-29","True"
"524","2021-03-30","True"
"525","2021-03-31","True"
"526","2021-04-01","True"
"527","2021-04-02","True"
"528","2021-04-03","True"
"529","2021-04-04","True"
"530","2021-04-05","True"
"531","2021-04-06","True"
"532","2021-04-07","True"
"533","2021-04-08","True"
"534","2021-04-09","True"
"535","2021-04-10","True"
"536","2021-04-11","False"
"537","2021-04-12","False"
"538","2021-04-13","False"
"539","2021-04-14","False"
"540","2021-04-15","False"
"541","2021-04-16","False"
"542","2021-04-17","False"
"543","2021-04-18","False"
"544","2021-04-19","False"
"545","2021-04-20","False"
"546","2021-04-21","False"
"547","2021-04-22","False"
"548","2021-04-23","False"
"549","2021-04-24","False"
"550","2021-04-25","False"
"551","2021-04-26","False"
"552","2021-04-27","False"
"553","2021-04-28","False"
"554","2021-04-29","False"
"555","2021-04-30","False"
"556","2021-05-01","False"
"557","2021-05-02","False"
"558","2021-05-03","False"
"559","2021-05-04","False"
"560","2021-05-05","False"
"561","2021-05-06","False"
"562","2021-05-07","False"
"563","2021-05-08","False"
"564","2021-05-09","False"
"565","2021-05-10","False"
"566","2021-05-11","False"
"567","2021-05-12","False"
"568","2021-05-13","False"
"569","2021-05-14","False"
"570","2021-05-15","False"
"571","2021-05-16","False"
"572","2021-05-17","False"
"573","2021-05-18","False"
"574","2021-05-19","False"
"575","2021-05-20","False"
"576","2021-05-21","False"
"577","2021-05-22","False"
"578","2021-05-23","False"
"579","2021-05-24","False"
"580","2021-05-25","False"
"581","2021-05-26","False"
"582","2021-05-27","False"
"583","2021-05-28","False"
"584","2021-05-29","False"
"585","2021-05-30","False"
"586","2021-05-31","False"
"587","2021-06-01","False"
"588","2021-06-02","False"
"589","2021-06-03","False"
"590","2021-06-04","False"
"591","2021-06-05","False"
"592","2021-06-06","False"
"593","2021-06-07","False"
"594","2021-06-08","False"
"595","2021-06-09","False"
"596","2021-06-10","False"
"597","2021-06-11","False"
"598","2021-06-12","False"
"599","2021-06-13","False"
"600","2021-06-14","False"
"601","2021-06-15","False"
"602","2021-06-16","False"
"603","2021-06-17","False"
"604","2021-06-18","False"
"605","2021-06-19","False"
"606","2021-06-20","False"
"607","2021-06-21","False"
"608","2021-06-22","False"
"609","2021-06-23","False"
"610","2021-06-24","False"
"611","2021-06-25","False"
"612","2021-06-26","False"
"613","2021-06-27","False"
"614","2021-06-28","False"
"615","2021-06-29","False"
"616","2021-06-30","False"
"617","2021-07-01","False"
"618","2021-07-02","False"
"619","2021-07-03","False"
"620","2021-07-04","False"
"621","2021-07-05","True"
"622","2021-07-06","True"
"623","2021-07-07","True"
"624","2021-07-08","True"
"625","2021-07-09","True"
"626","2021-07-10","True"
"627","2021-07-11","True"
"628","2021-07-12","True"
"629","2021-07-13","True"
"630","2021-07-14","True"
"631","2021-07-15","True"
"632","2021-07-16","True"
"633","2021-07-17","True"
"634","2021-07-18","True"
"635","2021-07-19","True"
"636","2021-07-20","True"
"637","2021-07-21","True"
"638","2021-07-22","True"
"639","2021-07-23","True"
"640","2021-07-24","True"
"641","2021-07-25","True"
"642","2021-07-26","True"
"643","2021-07-27","True"
"644","2021-07-28","True"
"645","2021-07-29","True"
"646","2021-07-30","True"
"647","2021-07-31","True"
"648","2021-08-01","True"
"649","2021-08-02","True"
"650","2021-08-03","True"
"651","2021-08-04","True"
"652","2021-08-05","True"
"653","2021-08-06","True"
"654","2021-08-07","True"
"655","2021-08-08","True"
"656","2021-08-09","True"
"657","2021-08-10","True"
"658","2021-08-11","True"
"659","2021-08-12","True"
"660","2021-08-13","True"
"661","2021-08-14","True"
"662","2021-08-15","True"
"663","2021-08-16","True"
"664","2021-08-17","True"
"665","2021-08-18","False"
"666","2021-08-19","False"
"667","2021-08-20","False"
"668","2021-08-21","False"
"669","2021-08-22","False"
"670","2021-08-23","False"
"671","2021-08-24","False"
"672","2021-08-25","False"
"673","2021-08-26","False"
"674","2021-08-27","False"
"675","2021-08-28","False"
"676","2021-08-29","False"
"677","2021-08-30","False"
"678","2021-08-31","False"
"679","2021-09-01","False"
"680","2021-09-02","False"
"681","2021-09-03","False"
"682","2021-09-04","False"
"683","2021-09-05","False"
"684","2021-09-06","False"
"685","2021-09-07","False"
"686","2021-09-08","False"
"687","2021-09-09","False"
"688","2021-09-10","False"
"689","2021-09-11","False"
"690","2021-09-12","False"
"691","2021-09-13","False"
"692","2021-09-14","False"
"693","2021-09-15","False"
"694","2021-09-16","False"
"695","2021-09-17","False"
"696","2021-09-18","False"
"697","2021-09-19","False"
"698","2021-09-20","False"
"699","2021-09-21","False"
"700","2021-09-22","False"
"701","2021-09-23","False"
"702","2021-09-24","False"
"703","2021-09-25","False"
"704","2021-09-26","False"
"705","2021-09-27","False"
"706","2021-09-28","False"
"707","2021-09-29","False"
"708","2021-09-30","False"
"709","2021-10-01","False"
"710","2021-10-02","False"
"711","2021-10-03","False"
"712","2021-10-04","False"
"713","2021-10-05","False"
"714","2021-10-06","False"
"715","2021-10-07","False"
"716","2021-10-08","False"
"717","2021-10-09","False"
"718","2021-10-10","False"
"719","2021-10-11","True"
"720","2021-10-12","True"
"721","2021-10-13","True"
"722","2021-10-14","True"
"723","2021-10-15","True"
"724","2021-10-16","True"
"725","2021-10-17","True"
"726","2021-10-18","True"
"727","2021-10-19","True"
"728","2021-10-20","True"
"729","2021-10-21","True"
"730","2021-10-22","True"
"731","2021-10-23","True"
"732","2021-10-24","False"
"733","2021-10-25","False"
"734","2021-10-26","False"
"735","2021-10-27","False"
"736","2021-10-28","False"
"737","2021-10-29","False"
"738","2021-10-30","False"
"739","2021-10-31","False"
"740","2021-11-01","False"
"741","2021-11-02","False"
"742","2021-11-03","False"
"743","2021-11-04","False"
"744","2021-11-05","False"
"745","2021-11-06","False"
"746","2021-11-07","False"
"747","2021-11-08","False"
"748","2021-11-09","False"
"749","2021-11-10","False"
"750","2021-11-11","False"
"751","2021-11-12","False"
"752","2021-11-13","False"
"753","2021-11-14","False"
"754","2021-11-15","False"
"755","2021-11-16","False"
"756","2021-11-17","False"
"757","2021-11-18","False"
"758","2021-11-19","False"
"759","2021-11-20","False"
"760","2021-11-21","False"
"761","2021-11-22","False"
"762","2021-11-23","False"
"763","2021-11-24","False"
"764","2021-11-25","False"
"765","2021-11-26","False"
"766","2021-11-27","False"
"767","2021-11-28","False"
